datetime_5min,site,species_count
2023-10-08 00:25:00,P40_SMM09245,0
2023-10-08 00:25:00,P33-SMM09684,0
2023-10-08 00:25:00,P35-SMM09330,0
2023-10-08 00:25:00,P37-SMM09595,0
2023-10-08 00:25:00,P41-SMM09350,0
2023-10-08 00:30:00,P04_SMM09557,0
2023-10-08 00:30:00,P39_SMM09309,0
2023-10-08 00:30:00,P23_SMM09360,0
2023-10-08 00:30:00,P16_SMM09317,0
2023-10-08 00:30:00,P13_SMM09539,0
2023-10-08 00:30:00,P26_SMM09319,0
2023-10-08 00:30:00,P19_SMM09396,0
2023-10-08 00:30:00,P20_SMM09279,3
2023-10-08 00:30:00,P01_SMM09721,0
2023-10-08 00:30:00,P03_SMM09499,0
2023-10-08 00:30:00,P.568_SMM09687,0
2023-10-08 00:30:00,P02_SMM09261,0
2023-10-08 00:30:00,P.1078_SMM09333,0
2023-10-08 00:30:00,P43-SMM09315,0
2023-10-08 00:30:00,P34_SMM09565,0
2023-10-08 00:30:00,P36-SMM09520,0
2023-10-08 00:30:00,P07-SMM09344,0
2023-10-08 00:30:00,P09-SMM09311,0
2023-10-08 00:30:00,P15-SMM09353,0
2023-10-08 00:30:00,P40_SMM09245,0
2023-10-08 00:30:00,P33-SMM09684,0
2023-10-08 00:30:00,P35-SMM09330,0
2023-10-08 00:30:00,P37-SMM09595,0
2023-10-08 00:30:00,P41-SMM09350,0
2023-10-08 00:35:00,P04_SMM09557,0
2023-10-08 00:35:00,P39_SMM09309,0
2023-10-08 00:35:00,P23_SMM09360,0
2023-10-08 00:35:00,P16_SMM09317,0
2023-10-08 00:35:00,P13_SMM09539,0
2023-10-08 00:35:00,P26_SMM09319,0
2023-10-08 00:35:00,P19_SMM09396,0
2023-10-08 00:35:00,P20_SMM09279,0
2023-10-08 00:35:00,P01_SMM09721,0
2023-10-08 00:35:00,P03_SMM09499,5
2023-10-08 00:35:00,P.568_SMM09687,0
2023-10-08 00:35:00,P02_SMM09261,0
2023-10-08 00:35:00,P.1078_SMM09333,0
2023-10-08 00:35:00,P43-SMM09315,0
2023-10-08 00:35:00,P34_SMM09565,0
2023-10-08 00:35:00,P36-SMM09520,0
2023-10-08 00:35:00,P07-SMM09344,0
2023-10-08 00:35:00,P09-SMM09311,0
2023-10-08 00:35:00,P15-SMM09353,0
2023-10-08 00:35:00,P40_SMM09245,0
2023-10-08 00:35:00,P33-SMM09684,0
2023-10-08 00:35:00,P35-SMM09330,0
2023-10-08 00:35:00,P37-SMM09595,0
2023-10-08 00:35:00,P41-SMM09350,0
2023-10-08 00:40:00,P04_SMM09557,0
2023-10-08 00:40:00,P39_SMM09309,1
2023-10-08 00:40:00,P23_SMM09360,0
2023-10-08 00:40:00,P16_SMM09317,0
2023-10-08 00:40:00,P13_SMM09539,0
2023-10-08 00:40:00,P26_SMM09319,0
2023-10-08 00:40:00,P19_SMM09396,0
2023-10-08 00:40:00,P20_SMM09279,0
2023-10-08 00:40:00,P01_SMM09721,0
2023-10-08 00:40:00,P03_SMM09499,0
2023-10-08 00:40:00,P.568_SMM09687,5
2023-10-08 00:40:00,P02_SMM09261,0
2023-10-08 00:40:00,P.1078_SMM09333,0
2023-10-08 00:40:00,P43-SMM09315,0
2023-10-08 00:40:00,P34_SMM09565,0
2023-10-08 00:40:00,P36-SMM09520,0
2023-10-08 00:40:00,P07-SMM09344,0
2023-10-08 00:40:00,P09-SMM09311,0
2023-10-08 00:40:00,P15-SMM09353,0
2023-10-08 00:40:00,P40_SMM09245,0
2023-10-08 00:40:00,P33-SMM09684,0
2023-10-08 00:40:00,P35-SMM09330,0
2023-10-08 00:40:00,P37-SMM09595,0
2023-10-08 00:40:00,P41-SMM09350,0
2023-10-08 00:45:00,P04_SMM09557,0
2023-10-08 00:45:00,P39_SMM09309,0
2023-10-08 00:45:00,P23_SMM09360,0
2023-10-08 00:45:00,P16_SMM09317,0
2023-10-08 00:45:00,P13_SMM09539,0
2023-10-08 00:45:00,P26_SMM09319,0
2023-10-08 00:45:00,P19_SMM09396,0
2023-10-08 00:45:00,P20_SMM09279,0
2023-10-08 00:45:00,P01_SMM09721,0
2023-10-08 00:45:00,P03_SMM09499,0
2023-10-08 00:45:00,P.568_SMM09687,0
2023-10-08 00:45:00,P02_SMM09261,0
2023-10-08 00:45:00,P.1078_SMM09333,0
2023-10-08 00:45:00,P43-SMM09315,0
2023-10-08 00:45:00,P34_SMM09565,0
2023-10-08 00:45:00,P36-SMM09520,0
2023-10-08 00:45:00,P07-SMM09344,0
2023-10-08 00:45:00,P09-SMM09311,0
2023-10-08 00:45:00,P15-SMM09353,0
2023-10-08 00:45:00,P40_SMM09245,0
2023-10-08 00:45:00,P33-SMM09684,0
2023-10-08 00:45:00,P35-SMM09330,0
2023-10-08 00:45:00,P37-SMM09595,0
2023-10-08 00:45:00,P41-SMM09350,0
2023-10-08 00:50:00,P04_SMM09557,0
2023-10-08 00:50:00,P39_SMM09309,0
2023-10-08 00:50:00,P23_SMM09360,0
2023-10-08 00:50:00,P16_SMM09317,0
2023-10-08 00:50:00,P13_SMM09539,0
2023-10-08 00:50:00,P26_SMM09319,0
2023-10-08 00:50:00,P19_SMM09396,0
2023-10-08 00:50:00,P20_SMM09279,0
2023-10-08 00:50:00,P01_SMM09721,0
2023-10-08 00:50:00,P03_SMM09499,0
2023-10-08 00:50:00,P.568_SMM09687,0
2023-10-08 00:50:00,P02_SMM09261,0
2023-10-08 00:50:00,P.1078_SMM09333,0
2023-10-08 00:50:00,P43-SMM09315,0
2023-10-08 00:50:00,P34_SMM09565,0
2023-10-08 00:50:00,P36-SMM09520,0
2023-10-08 00:50:00,P07-SMM09344,0
2023-10-08 00:50:00,P09-SMM09311,0
2023-10-08 00:50:00,P15-SMM09353,0
2023-10-08 00:50:00,P40_SMM09245,0
2023-10-08 00:50:00,P33-SMM09684,0
2023-10-08 00:50:00,P35-SMM09330,0
2023-10-08 00:50:00,P37-SMM09595,0
2023-10-08 00:50:00,P41-SMM09350,0
2023-10-08 00:55:00,P04_SMM09557,0
2023-10-08 00:55:00,P39_SMM09309,0
2023-10-08 00:55:00,P23_SMM09360,0
2023-10-08 00:55:00,P16_SMM09317,0
2023-10-08 00:55:00,P13_SMM09539,0
2023-10-08 00:55:00,P26_SMM09319,0
2023-10-08 00:55:00,P19_SMM09396,0
2023-10-08 00:55:00,P20_SMM09279,0
2023-10-08 00:55:00,P01_SMM09721,0
2023-10-08 00:55:00,P03_SMM09499,0
2023-10-08 00:55:00,P.568_SMM09687,0
2023-10-08 00:55:00,P02_SMM09261,0
2023-10-08 00:55:00,P.1078_SMM09333,0
2023-10-08 00:55:00,P43-SMM09315,0
2023-10-08 00:55:00,P34_SMM09565,0
2023-10-08 00:55:00,P36-SMM09520,0
2023-10-08 00:55:00,P07-SMM09344,0
2023-10-08 00:55:00,P09-SMM09311,0
2023-10-08 00:55:00,P15-SMM09353,0
2023-10-08 00:55:00,P40_SMM09245,0
2023-10-08 00:55:00,P33-SMM09684,0
2023-10-08 00:55:00,P35-SMM09330,0
2023-10-08 00:55:00,P37-SMM09595,0
2023-10-08 00:55:00,P41-SMM09350,0
2023-10-08 01:00:00,P04_SMM09557,0
2023-10-08 01:00:00,P39_SMM09309,0
2023-10-08 01:00:00,P23_SMM09360,0
2023-10-08 01:00:00,P16_SMM09317,0
2023-10-08 01:00:00,P13_SMM09539,0
2023-10-08 01:00:00,P26_SMM09319,0
2023-10-08 01:00:00,P19_SMM09396,0
2023-10-08 01:00:00,P20_SMM09279,0
2023-10-08 01:00:00,P01_SMM09721,0
2023-10-08 01:00:00,P03_SMM09499,0
2023-10-08 01:00:00,P.568_SMM09687,0
2023-10-08 01:00:00,P02_SMM09261,0
2023-10-08 01:00:00,P.1078_SMM09333,0
2023-10-08 01:00:00,P43-SMM09315,0
2023-10-08 01:00:00,P34_SMM09565,0
2023-10-08 01:00:00,P36-SMM09520,0
2023-10-08 01:00:00,P07-SMM09344,0
2023-10-08 01:00:00,P09-SMM09311,0
2023-10-08 01:00:00,P15-SMM09353,0
2023-10-08 01:00:00,P40_SMM09245,0
2023-10-08 01:00:00,P33-SMM09684,0
2023-10-08 01:00:00,P35-SMM09330,0
2023-10-08 01:00:00,P37-SMM09595,0
2023-10-08 01:00:00,P41-SMM09350,0
2023-10-08 01:05:00,P04_SMM09557,0
2023-10-08 01:05:00,P39_SMM09309,0
2023-10-08 01:05:00,P23_SMM09360,0
2023-10-08 01:05:00,P16_SMM09317,0
2023-10-08 01:05:00,P13_SMM09539,0
2023-10-08 01:05:00,P26_SMM09319,0
2023-10-08 01:05:00,P19_SMM09396,0
2023-10-08 01:05:00,P20_SMM09279,0
2023-10-08 01:05:00,P01_SMM09721,0
2023-10-08 01:05:00,P03_SMM09499,0
2023-10-08 01:05:00,P.568_SMM09687,0
2023-10-08 01:05:00,P02_SMM09261,0
2023-10-08 01:05:00,P.1078_SMM09333,0
2023-10-08 01:05:00,P43-SMM09315,0
2023-10-08 01:05:00,P34_SMM09565,0
2023-10-08 01:05:00,P36-SMM09520,0
2023-10-08 01:05:00,P07-SMM09344,0
2023-10-08 01:05:00,P09-SMM09311,0
2023-10-08 01:05:00,P15-SMM09353,0
2023-10-08 01:05:00,P40_SMM09245,0
2023-10-08 01:05:00,P33-SMM09684,0
2023-10-08 01:05:00,P35-SMM09330,0
2023-10-08 01:05:00,P37-SMM09595,0
2023-10-08 01:05:00,P41-SMM09350,0
2023-10-08 01:10:00,P04_SMM09557,0
2023-10-08 01:10:00,P39_SMM09309,0
2023-10-08 01:10:00,P23_SMM09360,0
2023-10-08 01:10:00,P16_SMM09317,0
2023-10-08 01:10:00,P13_SMM09539,0
2023-10-08 01:10:00,P26_SMM09319,0
2023-10-08 01:10:00,P19_SMM09396,0
2023-10-08 01:10:00,P20_SMM09279,0
2023-10-08 01:10:00,P01_SMM09721,0
2023-10-08 01:10:00,P03_SMM09499,0
2023-10-08 01:10:00,P.568_SMM09687,0
2023-10-08 01:10:00,P02_SMM09261,0
2023-10-08 01:10:00,P.1078_SMM09333,0
2023-10-08 01:10:00,P43-SMM09315,0
2023-10-08 01:10:00,P34_SMM09565,0
2023-10-08 01:10:00,P36-SMM09520,0
2023-10-08 01:10:00,P07-SMM09344,0
2023-10-08 01:10:00,P09-SMM09311,0
2023-10-08 01:10:00,P15-SMM09353,0
2023-10-08 01:10:00,P40_SMM09245,0
2023-10-08 01:10:00,P33-SMM09684,0
2023-10-08 01:10:00,P35-SMM09330,0
2023-10-08 01:10:00,P37-SMM09595,0
2023-10-08 01:10:00,P41-SMM09350,0
2023-10-08 01:15:00,P04_SMM09557,0
2023-10-08 01:15:00,P39_SMM09309,0
2023-10-08 01:15:00,P23_SMM09360,0
2023-10-08 01:15:00,P16_SMM09317,0
2023-10-08 01:15:00,P13_SMM09539,0
2023-10-08 01:15:00,P26_SMM09319,0
2023-10-08 01:15:00,P19_SMM09396,0
2023-10-08 01:15:00,P20_SMM09279,0
2023-10-08 01:15:00,P01_SMM09721,0
2023-10-08 01:15:00,P03_SMM09499,0
2023-10-08 01:15:00,P.568_SMM09687,0
2023-10-08 01:15:00,P02_SMM09261,0
2023-10-08 01:15:00,P.1078_SMM09333,0
2023-10-08 01:15:00,P43-SMM09315,0
2023-10-08 01:15:00,P34_SMM09565,0
2023-10-08 01:15:00,P36-SMM09520,0
2023-10-08 01:15:00,P07-SMM09344,0
2023-10-08 01:15:00,P09-SMM09311,0
2023-10-08 01:15:00,P15-SMM09353,0
2023-10-08 01:15:00,P40_SMM09245,0
2023-10-08 01:15:00,P33-SMM09684,0
2023-10-08 01:15:00,P35-SMM09330,0
2023-10-08 01:15:00,P37-SMM09595,0
2023-10-08 01:15:00,P41-SMM09350,0
2023-10-08 01:20:00,P04_SMM09557,0
2023-10-08 01:20:00,P39_SMM09309,0
2023-10-08 01:20:00,P23_SMM09360,0
2023-10-08 01:20:00,P16_SMM09317,0
2023-10-08 01:20:00,P13_SMM09539,0
2023-10-08 01:20:00,P26_SMM09319,0
2023-10-08 01:20:00,P19_SMM09396,0
2023-10-08 01:20:00,P20_SMM09279,0
2023-10-08 01:20:00,P01_SMM09721,0
2023-10-08 01:20:00,P03_SMM09499,0
2023-10-08 01:20:00,P.568_SMM09687,0
2023-10-08 01:20:00,P02_SMM09261,0
2023-10-08 01:20:00,P.1078_SMM09333,0
2023-10-08 01:20:00,P43-SMM09315,0
2023-10-08 01:20:00,P34_SMM09565,0
2023-10-08 01:20:00,P36-SMM09520,0
2023-10-08 01:20:00,P07-SMM09344,0
2023-10-08 01:20:00,P09-SMM09311,0
2023-10-08 01:20:00,P15-SMM09353,0
2023-10-08 01:20:00,P40_SMM09245,0
2023-10-08 01:20:00,P33-SMM09684,0
2023-10-08 01:20:00,P35-SMM09330,0
2023-10-08 01:20:00,P37-SMM09595,0
2023-10-08 01:20:00,P41-SMM09350,0
2023-10-08 01:25:00,P04_SMM09557,0
2023-10-08 01:25:00,P39_SMM09309,0
2023-10-08 01:25:00,P23_SMM09360,0
2023-10-08 01:25:00,P16_SMM09317,0
2023-10-08 01:25:00,P13_SMM09539,0
2023-10-08 01:25:00,P26_SMM09319,0
2023-10-08 01:25:00,P19_SMM09396,0
2023-10-08 01:25:00,P20_SMM09279,0
2023-10-08 01:25:00,P01_SMM09721,0
2023-10-08 01:25:00,P03_SMM09499,0
2023-10-08 01:25:00,P.568_SMM09687,0
2023-10-08 01:25:00,P02_SMM09261,0
2023-10-08 01:25:00,P.1078_SMM09333,0
2023-10-08 01:25:00,P43-SMM09315,0
2023-10-08 01:25:00,P34_SMM09565,0
2023-10-08 01:25:00,P36-SMM09520,0
2023-10-08 01:25:00,P07-SMM09344,0
2023-10-08 01:25:00,P09-SMM09311,0
2023-10-08 01:25:00,P15-SMM09353,0
2023-10-08 01:25:00,P40_SMM09245,0
2023-10-08 01:25:00,P33-SMM09684,0
2023-10-08 01:25:00,P35-SMM09330,0
2023-10-08 01:25:00,P37-SMM09595,0
2023-10-08 01:25:00,P41-SMM09350,0
2023-10-08 01:30:00,P04_SMM09557,0
2023-10-08 01:30:00,P39_SMM09309,0
2023-10-08 01:30:00,P23_SMM09360,0
2023-10-08 01:30:00,P16_SMM09317,0
2023-10-08 01:30:00,P13_SMM09539,0
2023-10-08 01:30:00,P26_SMM09319,0
2023-10-08 01:30:00,P19_SMM09396,0
2023-10-08 01:30:00,P20_SMM09279,0
2023-10-08 01:30:00,P01_SMM09721,0
2023-10-08 01:30:00,P03_SMM09499,0
2023-10-08 01:30:00,P.568_SMM09687,0
2023-10-08 01:30:00,P02_SMM09261,0
2023-10-08 01:30:00,P.1078_SMM09333,0
2023-10-08 01:30:00,P43-SMM09315,0
2023-10-08 01:30:00,P34_SMM09565,0
2023-10-08 01:30:00,P36-SMM09520,0
2023-10-08 01:30:00,P07-SMM09344,0
2023-10-08 01:30:00,P09-SMM09311,0
2023-10-08 01:30:00,P15-SMM09353,0
2023-10-08 01:30:00,P40_SMM09245,0
2023-10-08 01:30:00,P33-SMM09684,0
2023-10-08 01:30:00,P35-SMM09330,0
2023-10-08 01:30:00,P37-SMM09595,0
2023-10-08 01:30:00,P41-SMM09350,0
2023-10-08 01:35:00,P04_SMM09557,0
2023-10-08 01:35:00,P39_SMM09309,0
2023-10-08 01:35:00,P23_SMM09360,0
2023-10-08 01:35:00,P16_SMM09317,0
2023-10-08 01:35:00,P13_SMM09539,0
2023-10-08 01:35:00,P26_SMM09319,0
2023-10-08 01:35:00,P19_SMM09396,0
2023-10-08 01:35:00,P20_SMM09279,0
2023-10-08 01:35:00,P01_SMM09721,0
2023-10-08 01:35:00,P03_SMM09499,0
2023-10-08 01:35:00,P.568_SMM09687,0
2023-10-08 01:35:00,P02_SMM09261,0
2023-10-08 01:35:00,P.1078_SMM09333,0
2023-10-08 01:35:00,P43-SMM09315,0
2023-10-08 01:35:00,P34_SMM09565,0
2023-10-08 01:35:00,P36-SMM09520,0
2023-10-08 01:35:00,P07-SMM09344,0
2023-10-08 01:35:00,P09-SMM09311,0
2023-10-08 01:35:00,P15-SMM09353,0
2023-10-08 01:35:00,P40_SMM09245,0
2023-10-08 01:35:00,P33-SMM09684,0
2023-10-08 01:35:00,P35-SMM09330,0
2023-10-08 01:35:00,P37-SMM09595,0
2023-10-08 01:35:00,P41-SMM09350,0
2023-10-08 01:40:00,P04_SMM09557,0
2023-10-08 01:40:00,P39_SMM09309,0
2023-10-08 01:40:00,P23_SMM09360,0
